bank_id,segment,year_first,year_last,years_on_sheet,compiled_first,compiled_last,compiled_years,core5_expected,core5_filled,core5_pct,core5_pct_sheet,all_cells,all_filled,all_pct,core5_years_full,first_core5_full,last_core5_full
bank_asia_plc,CB,2015,2025,11,2015,2025,11,55,53,96.4,96.4,209,192,91.9,10,2016,2025
brac_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,207,99.0,11,2015,2025
city_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,207,99.0,11,2015,2025
dutch_bangla_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,190,90.9,11,2015,2025
eastern_bank_plc,CB,2015,2025,11,2015,2025,11,55,50,90.9,90.9,209,186,89.0,10,2015,2025
ific_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,205,98.1,11,2015,2025
mercantile_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,207,99.0,11,2015,2025
mutual_trust_bank_plc,CB,2015,2025,11,2015,2025,11,55,54,98.2,98.2,209,191,91.4,10,2015,2025
prime_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,205,98.1,11,2015,2025
pubali_bank_plc,CB,2015,2025,11,2016,2025,10,50,50,100.0,90.9,209,185,88.5,10,2016,2025
southeast_bank_plc,CB,2015,2025,11,2015,2025,11,55,55,100.0,100.0,209,207,99.0,11,2015,2025
bangladesh_development_bank_plc_bdbl,SOCB,2010,2026,17,2010,2024,15,75,75,100.0,88.2,323,283,87.6,15,2010,2024
bangladesh_krishi_bank_bkb,SOCB,1973,2026,54,2010,2025,16,80,80,100.0,29.6,1026,281,27.4,16,2010,2025
basic_bank_plc,SOCB,1989,2026,38,1989,2023,35,175,175,100.0,92.1,722,507,70.2,35,1989,2023
janata_bank_plc,SOCB,1972,2026,55,1972,2024,53,265,265,100.0,96.4,1045,682,65.3,53,1972,2024
rupali_bank_plc,SOCB,1972,2026,55,1972,2025,54,270,137,50.7,49.8,1155,431,37.3,17,2009,2025
sonali_bank,SOCB,1972,2026,55,1972,2025,54,270,268,99.3,97.5,1045,778,74.4,52,1972,2025
