bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
bank_asia_plc,Bank Asia PLC,CB,2015,224347.0,136396.32,169827.0,,,,,,,,,,,,80.31,
bank_asia_plc,Bank Asia PLC,CB,2016,253195.7,163609.78,191272.58,19038.48,3968.45,3756.18,1545.91,8851.29,1.57,0.65,8.13,5.41,50.8,76.15,12.42,44.35
bank_asia_plc,Bank Asia PLC,CB,2017,288996.64,197504.14,207041.47,21054.49,5570.01,4120.56,2047.53,8650.68,1.84,0.76,10.21,4.38,43.27,81.88,14.89,44.12
bank_asia_plc,Bank Asia PLC,CB,2018,307291.4,214618.15,222471.72,23340.13,7902.69,4015.84,2266.28,8799.34,1.94,0.76,10.21,4.1,44.19,81.75,15.05,42.93
bank_asia_plc,Bank Asia PLC,CB,2019,353800.37,227298.96,253709.57,24745.12,8400.76,4456.4,1960.81,10478.48,1.68,0.59,8.16,4.61,43.93,76.47,17.93,42.33
bank_asia_plc,Bank Asia PLC,CB,2020,408717.15,244642.03,303028.11,27380.9,3185.32,4462.27,2035.71,7926.4,1.75,0.53,7.81,3.24,51.96,69.42,16.93,54.42
bank_asia_plc,Bank Asia PLC,CB,2021,438293.29,262266.7,317782.43,27356.64,5639.88,6609.12,2706.74,13480.51,2.32,0.64,9.89,5.14,54.12,65.58,15.72,44.93
bank_asia_plc,Bank Asia PLC,CB,2022,468400.94,277870.36,337695.42,28640.25,5506.73,8596.86,3045.87,13532.3,2.61,0.67,10.88,4.87,77.79,68.17,17.7,47.14
bank_asia_plc,Bank Asia PLC,CB,2023,474147.76,291325.04,361536.3,29519.53,6233.07,7532.73,2395.8,19518.78,1.72,0.51,8.24,6.7,80.06,72.48,16.45,45.02
bank_asia_plc,Bank Asia PLC,CB,2024,532901.82,293725.6,416559.45,31842.29,6029.97,7812.95,2774.6,33484.72,1.88,0.55,9.04,11.4,67.75,64.13,15.61,37.0
bank_asia_plc,Bank Asia PLC,CB,2025,589486.81,294682.3,456482.91,35228.64,-1377.09,9042.32,4455.82,24698.37,3.19,0.79,13.29,8.38,91.05,55.77,15.13,35.73
brac_bank_plc,BRAC Bank PLC,CB,2015,224493.0,147434.0,143321.0,18815.0,8716.0,3960.0,2435.0,8831.3,3.43,1.13,13.32,5.99,77.94,82.24,12.29,56.29
brac_bank_plc,BRAC Bank PLC,CB,2016,248605.0,173612.0,168860.0,21441.0,10806.0,2661.0,4460.0,5902.8,5.23,1.89,22.16,3.4,94.0,83.47,12.06,57.0
brac_bank_plc,BRAC Bank PLC,CB,2017,279187.0,202559.0,196224.0,25991.0,12147.0,2981.0,5250.0,7211.1,4.91,2.02,22.14,3.56,86.0,83.39,11.97,60.0
brac_bank_plc,BRAC Bank PLC,CB,2018,315417.0,238008.0,233509.0,31638.0,13538.0,2666.0,5547.0,7378.3,4.5,1.87,19.25,3.1,76.0,82.78,15.7,64.0
brac_bank_plc,BRAC Bank PLC,CB,2019,369404.0,264091.0,268309.0,38919.0,15038.0,3279.0,5646.0,10537.2,4.26,1.64,15.6,3.99,65.0,82.1,16.16,68.0
brac_bank_plc,BRAC Bank PLC,CB,2020,397502.0,273063.0,289054.0,46955.0,11380.0,2672.0,4541.0,8000.8,3.42,1.18,10.58,2.93,114.0,76.69,15.13,71.0
brac_bank_plc,BRAC Bank PLC,CB,2021,449084.0,321212.0,314591.0,54419.0,13997.0,3586.0,5547.0,12527.3,3.71,1.31,11.0,3.9,108.0,81.86,20.42,68.0
