metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,224347.0,253195.7,288996.64,307291.4,353800.37,408717.15,438293.29,468400.94,474147.76,532901.82,589486.81
Loans & Advances,Tk mn,136396.32,163609.78,197504.14,214618.15,227298.96,244642.03,262266.7,277870.36,291325.04,293725.6,294682.3
Total Deposits,Tk mn,169827.0,191272.58,207041.47,222471.72,253709.57,303028.11,317782.43,337695.42,361536.3,416559.45,456482.91
Shareholders' Equity,Tk mn,N/A,19038.48,21054.49,23340.13,24745.12,27380.9,27356.64,28640.25,29519.53,31842.29,35228.64
Net Interest Income,Tk mn,N/A,3968.45,5570.01,7902.69,8400.76,3185.32,5639.88,5506.73,6233.07,6029.97,-1377.09
Non-Interest Income,Tk mn,N/A,3756.18,4120.56,4015.84,4456.4,4462.27,6609.12,8596.86,7532.73,7812.95,9042.32
Net Profit After Tax,Tk mn,N/A,1545.91,2047.53,2266.28,1960.81,2035.71,2706.74,3045.87,2395.8,2774.6,4455.82
EPS,BDT,N/A,1.57,1.84,1.94,1.68,1.75,2.32,2.61,1.72,1.88,3.19
ROA %,%,N/A,0.65,0.76,0.76,0.59,0.53,0.64,0.67,0.51,0.55,0.79
ROE %,%,N/A,8.13,10.21,10.21,8.16,7.81,9.89,10.88,8.24,9.04,13.29
Loan-Deposit Ratio %,%,N/A,76.15,81.88,81.75,76.47,69.42,65.58,68.17,72.48,64.13,55.77
NPL % (gross),%,N/A,5.41,4.38,4.1,4.61,3.24,5.14,4.87,6.7,11.4,8.38
Provision Coverage %,%,N/A,50.8,43.27,44.19,43.93,51.96,54.12,77.79,80.06,67.75,91.05
CRAR % (Group),%,80.31,12.42,14.89,15.05,17.93,16.93,15.72,17.7,16.45,15.61,15.13
Cost-to-Income Ratio % (Group),%,N/A,44.35,44.12,42.93,42.33,54.42,44.93,47.14,45.02,37.0,35.73
Estimated NPL amount (NPL% x Loans),Tk mn,,8851.29,8650.68,8799.34,10478.48,7926.4,13480.51,13532.3,19518.78,33484.72,24698.37
NPL / Total Assets % (estimated),%,N/A,3.5,2.99,2.86,2.96,1.94,3.08,2.89,4.12,6.28,4.19
YoY NPAT growth %,%,N/A,N/A,32.44,10.68,-13.48,3.82,32.96,12.53,-21.34,15.81,60.6
YoY Equity growth %,%,N/A,N/A,10.59,10.86,6.02,10.65,-0.09,4.69,3.07,7.87,10.63
