metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,224493.0,248605.0,279187.0,315417.0,369404.0,397502.0,449084.0,563271.0,726723.0,930133.0,1179672.0
Loans & Advances,Tk mn,147434.0,173612.0,202559.0,238008.0,264091.0,273063.0,321212.0,410676.0,519452.0,623372.0,730659.0
Total Deposits,Tk mn,143321.0,168860.0,196224.0,233509.0,268309.0,289054.0,314591.0,384467.0,513909.0,689433.0,889517.0
Shareholders' Equity,Tk mn,18815.0,21441.0,25991.0,31638.0,38919.0,46955.0,54419.0,58418.0,63782.0,75797.0,99702.0
Net Interest Income,Tk mn,8716.0,10806.0,12147.0,13538.0,15038.0,11380.0,13997.0,15235.0,17719.0,13461.0,11778.0
Non-Interest Income,Tk mn,3960.0,2661.0,2981.0,2666.0,3279.0,2672.0,3586.0,6152.0,6317.0,9524.0,8233.0
Net Profit After Tax,Tk mn,2435.0,4460.0,5250.0,5547.0,5646.0,4541.0,5547.0,5763.0,7304.0,12136.0,15809.0
EPS,BDT,3.43,5.23,4.91,4.5,4.26,3.42,3.71,3.58,4.13,6.1,7.94
ROA %,%,1.13,1.89,2.02,1.87,1.64,1.18,1.31,1.14,1.13,1.46,1.5
ROE %,%,13.32,22.16,22.14,19.25,15.6,10.58,11.0,10.22,11.95,17.36,18.02
Loan-Deposit Ratio %,%,82.24,83.47,83.39,82.78,82.1,76.69,81.86,79.94,74.29,70.75,63.48
NPL % (gross),%,5.99,3.4,3.56,3.1,3.99,2.93,3.9,3.72,3.38,2.63,2.27
Provision Coverage %,%,77.94,94.0,86.0,76.0,65.0,114.0,108.0,99.0,102.0,120.0,120.0
CRAR % (Group),%,12.29,12.06,11.97,15.7,16.16,15.13,20.42,19.38,18.6,19.05,19.64
Cost-to-Income Ratio % (Group),%,56.29,57.0,60.0,64.0,68.0,71.0,68.0,70.0,66.0,57.0,52.0
Estimated NPL amount (NPL% x Loans),Tk mn,8831.3,5902.8,7211.1,7378.3,10537.2,8000.8,12527.3,15277.2,17557.5,16394.7,16587.0
NPL / Total Assets % (estimated),%,3.93,2.37,2.58,2.34,2.85,2.01,2.79,2.71,2.42,1.76,1.41
YoY NPAT growth %,%,N/A,83.16,17.71,5.66,1.78,-19.57,22.16,3.89,26.75,66.16,30.26
YoY Equity growth %,%,N/A,13.96,21.22,21.73,23.02,20.65,15.89,7.35,9.18,18.84,31.54
