metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,210221.0,254776.0,275531.0,324780.0,354689.0,382926.0,416902.0,506847.0,555738.0,698062.0,843341.0
"Loans & Advances, gross",Tk mn,143088.0,175025.0,196596.0,231391.0,246944.0,268202.0,286380.0,354774.0,396078.0,444978.0,506201.0
Total Deposits,Tk mn,143729.0,174695.0,183493.0,205170.0,246704.0,254781.0,282064.0,331890.0,392510.0,514204.0,631642.0
Shareholders' Equity,Tk mn,20890.0,20653.0,24869.0,24430.0,25416.0,28818.0,31224.0,32845.0,37220.0,46121.0,61102.0
Net Interest Income,Tk mn,5506.0,6477.0,7495.0,9201.0,10832.0,8363.0,12048.0,12359.0,15831.0,14742.0,2847.0
Non-Interest Income,Tk mn,2888.0,3173.0,4630.0,4859.0,5367.0,4936.0,6776.0,8624.0,7063.0,8431.0,9443.0
Net Profit After Tax,Tk mn,3600.0,3956.0,3628.0,2018.0,2472.0,4012.0,4743.0,4508.0,6151.0,10851.0,13059.0
EPS,BDT,4.1,4.5,4.1,2.1,2.4,3.9,4.4,3.8,5.0,8.1,8.6
ROA %,%,1.9,1.7,1.4,0.7,0.7,1.1,1.2,1.0,1.2,1.7,1.7
ROE %,%,18.3,19.0,15.9,8.2,9.9,14.8,15.8,14.1,17.6,26.0,24.4
NPL % (gross),%,7.6,6.0,5.4,5.3,5.8,4.0,4.9,3.9,3.6,3.7,2.5
NPL amount,Tk mn,10845.0,10582.0,10678.0,12326.0,14244.0,10850.0,13906.0,13671.0,14385.0,16569.0,12669.0
Provision Coverage %,%,57.5,59.6,56.7,64.6,71.0,83.8,90.1,104.7,110.1,106.8,127.0
Loan-Deposit Ratio %,%,79.2,80.4,84.9,82.5,79.1,74.7,84.7,83.2,83.7,74.7,71.3
Capital Adequacy Ratio %,%,13.2,13.2,14.7,13.4,15.2,15.5,14.2,14.5,15.8,16.0,15.7
Cost-to-Income Ratio %,%,47.6,47.6,53.9,58.0,54.7,57.9,48.6,51.9,51.1,42.1,43.7
NPL / Total Assets %,%,5.158856632,4.153452445,3.875425996,3.795184433,4.015912532,2.833445627,3.335556078,2.697263671,2.588449953,2.373571402,1.502239308
YoY NPAT growth %,%,,0.09888888889,-0.08291203236,-0.4437706725,0.224975223,0.6229773463,0.1822033898,-0.0495467004,0.3644631766,0.7641033978,0.2034835499
YoY Total Assets growth %,%,,0.2119436212,0.08146371715,0.1787421379,0.09209003017,0.07961058843,0.08872732591,0.2157461466,0.09646106221,0.2560990971,0.2081176171
