metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,244057.6,264797.4,311906.8,346468.8,390362.0,472355.4,514399.8,555473.6,593883.1,679875.5,817797.6
"Loans & Advances, gross",Tk mn,152270.0,173397.8,207257.4,231553.9,256239.7,273382.9,319448.1,364000.8,412073.0,428689.4,450503.8
Total Deposits,Tk mn,186765.0,207234.0,233796.4,262467.7,302159.2,362611.0,401500.3,438131.3,472590.1,521872.5,622057.8
Shareholders' Equity,Tk mn,16754.3,17672.7,19482.2,23086.0,27443.3,32256.7,36966.4,41638.8,48172.8,51608.2,60070.5
Net Interest Income,Tk mn,9788.0,9963.5,N/A,N/A,17784.0,14129.7,N/A,N/A,N/A,29256.2,19871.9
Non-Interest Income,Tk mn,3761.4,3895.8,N/A,N/A,5749.7,5340.8,N/A,N/A,N/A,7258.4,10078.5
Net Profit After Tax,Tk mn,3020.3,1775.2,2455.2,4201.4,4341.4,5498.7,5561.1,5661.7,8017.4,4734.8,9647.7
EPS (Taka),BDT,15.1,8.9,12.3,21.0,8.7,10.0,8.8,8.14,10.72,5.39,9.98
ROA %,%,0.013,0.007,0.009,0.013,0.012,0.013,0.011,0.011,0.014,0.007,0.013
ROE %,%,0.193,0.103,0.132,0.197,0.172,0.184,0.161,0.144,0.179,0.095,0.173
Loan-Deposit Ratio %,%,0.815,0.794,0.756,0.772,0.739,0.643,0.718,0.765,0.826,0.779,0.68
NPL % (gross),%,0.037,0.052,0.047,0.041,0.044,0.022,0.037,0.043,0.041,0.077,0.064
Provision Coverage %,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.759,1.182
CRAR % (Group),%,0.137,0.131,0.13,0.156,0.155,0.172,0.164,0.156,0.162,0.138,0.171
Cost-to-Income Ratio % (Group),%,0.588,0.653,0.693,0.616,0.582,0.605,0.588,0.613,0.595,0.524,0.497
Estimated NPL amount,Tk mn,5634.0,9016.7,9741.1,9493.7,11274.5,6014.4,11819.6,15652.0,16895.0,33009.1,28832.2
NPL / Total Assets %,%,0.0231,0.0341,0.0312,0.0274,0.0289,0.0127,0.023,0.0282,0.0284,0.0486,0.0353
YoY NPAT growth %,%,0.369,-0.412,0.383,0.711,0.033,0.267,0.011,0.018,0.416,-0.409,1.038
YoY Equity growth %,%,0.154,0.055,0.102,0.185,0.189,0.175,0.146,0.126,0.157,0.071,0.164
