metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,189563.0,N/A,253068.0,282451.0,335163.0,336936.0,388815.0,455989.0,506271.0,616050.0,761604.0
Loans & Advances,Tk mn,130226.0,N/A,184027.0,209306.0,232051.0,228944.0,269394.0,308916.0,353357.0,410718.0,477040.0
Total Deposits,Tk mn,127990.0,N/A,167348.0,199629.0,240164.0,242358.0,268019.0,317097.0,366104.0,457692.0,556454.0
Shareholders' Equity,Tk mn,20496.0,N/A,21586.0,22966.0,25567.0,28976.0,31017.0,35045.0,37484.0,43064.0,50850.0
Net Interest Income,Tk mn,3545.0,N/A,5745.0,7506.0,8159.0,5930.0,7761.0,6699.0,8148.0,10585.0,9833.0
Non-Interest Income,Tk mn,6542.0,N/A,6656.0,5633.0,6439.0,8204.0,9397.0,11090.0,12380.0,16042.0,21144.0
Net Profit After Tax,Tk mn,2221.0,N/A,2405.0,3081.0,4008.0,4103.0,4654.0,5107.0,6109.0,7504.0,9010.0
EPS,BDT,3.63,N/A,3.26,4.17,4.94,5.05,4.88,4.76,5.06,5.53,5.65
ROA %,%,1.23,N/A,1.04,1.15,1.3,1.22,1.28,1.21,1.27,1.34,1.31
ROE %,%,10.95,N/A,11.41,13.83,16.52,15.04,15.51,15.46,16.85,18.63,19.13
Loan-Deposit Ratio %,%,87.87,N/A,83.06,83.08,77.2,74.13,79.69,77.83,79.45,80.19,74.65
NPL % (gross),%,3.27,N/A,2.5,2.35,3.35,2.72,3.7,2.78,3.1,3.34,2.24
Provision Coverage %,%,116.85,N/A,159.52,150.39,120.42,179.51,141.31,168.46,147.61,114.49,161.04
CRAR % (Group),%,13.92,N/A,14.09,12.16,14.74,15.03,13.87,14.61,15.07,14.65,14.88
Cost-to-Income Ratio % (Group),%,48.33,N/A,45.2,45.63,43.76,45.8,39.1,43.53,44.22,40.95,41.69
Estimated NPL amount (NPL% x Loans),Tk mn,4258.4,N/A,4600.7,4918.7,7773.7,6227.3,9967.6,8587.9,10954.1,13718.0,10685.7
NPL / Total Assets % (estimated),%,2.25,N/A,1.82,1.74,2.32,1.85,2.56,1.88,2.16,2.23,1.4
YoY NPAT growth %,%,5.4,N/A,N/A,28.1,30.1,2.4,13.4,9.7,19.6,22.8,20.1
YoY Equity growth %,%,,,,,11.3,13.3,7.0,13.0,7.0,14.9,18.1
