metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,180737.39,200251.06,253249.0,283073.0,316950.0,363412.0,410402.92,470548.02,529936.5,565693.6,586402.1
Loans & Advances,Tk mn,125668.04,141258.76,179264.0,206930.0,228589.0,260650.0,306333.35,355858.87,414982.8,447266.1,443295.0
Total Deposits,Tk mn,146848.21,160132.62,200206.0,226364.0,258368.0,296374.0,332751.26,375552.71,442071.4,474592.0,517162.0
Shareholders' Equity,Tk mn,12370.38,13922.4,20539.0,22116.0,24597.0,25217.0,30236.31,33609.0,36125.3,31045.4,5658.3
Net Interest Income,Tk mn,3774.51,4405.43,5492.0,4560.0,6398.0,2864.0,7165.0,8099.0,8377.0,2733.6,-22094.7
Non-Interest Income,Tk mn,4305.47,4247.43,4270.0,4441.0,4722.0,5560.0,7188.0,7458.0,7282.6,8823.6,10182.5
Net Profit After Tax,Tk mn,1057.14,1582.53,2068.0,1570.0,2444.0,562.0,2541.0,3442.0,3005.2,-1024.7,-25616.9
EPS,BDT,1.87,2.81,1.54,1.07,1.51,0.35,1.42,1.93,1.56,-0.53,-13.33
ROA %,%,0.53,0.65,0.9,0.6,0.8,0.2,0.61,0.78,0.57,-0.19,-4.45
ROE %,%,7.61,9.46,12.4,7.4,10.5,2.3,8.4,10.24,8.32,-3.25,-139.59
Loan-Deposit Ratio %,%,83.96,85.62,85.04,86.83,84.08,82.4,92.06,94.76,93.9,91.34,84.19
NPL % (gross),%,6.46,5.29,6.4,6.16,5.37,3.97,6.09,5.61,7.99,54.97,61.47
Provision Coverage %,%,33.92,32.48,51.5,46.7,49.2,75.8,54.47,66.11,44.0,5.46,2.91
CRAR % (Group),%,10.24,11.73,13.06,12.99,13.42,12.96,13.89,13.62,12.74,7.96,2.45
Cost-to-Income Ratio % (Group),%,55.3,60.02,,,54.9,65.4,47.05,54.17,65.3,98.73,-101.27
Estimated NPL amount (NPL% x Loans),Tk mn,8118.155384,7472.588404,11472.896,12746.888,12275.2293,10347.805,18655.70102,19963.68261,33157.12572,245862.1752,272493.4365
NPL / Total Assets % (estimated),%,4.491685635,3.731609912,4.530282844,4.503039145,3.872922953,2.847403223,4.545703772,4.24264512,6.256811093,43.46207473,46.46870066
YoY NPAT growth %,%,,0.4969918838,0.3067682761,-0.2408123791,0.5566878981,-0.7700490998,3.521352313,0.3545848091,-0.1269029634,-1.340975642,-25.99941446
YoY Equity growth %,%,,0.1254625969,0.4752485204,0.07678075856,0.1121812263,0.02520632597,0.1990446921,0.111544365,0.07486982653,-0.1406189014,-0.8177411146
