metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,182800.17,204127.47,260169.93,291385.64,316363.47,330785.56,359411.36,382328.47,402173.04,444690.3,477887.53
Loans & Advances,Tk mn,126338.83,150912.52,199660.72,224230.61,236890.45,248994.39,266766.89,280890.53,284830.98,300025.11,285935.57
Total Deposits,Tk mn,154869.52,165257.45,220516.63,243643.42,262961.05,252817.4,274905.61,294060.0,317227.09,355121.12,394682.05
Shareholders' Equity,Tk mn,15513.73,16809.61,17584.02,18683.55,20908.29,22101.78,24403.9,25275.15,25984.47,25810.06,26465.41
Net Interest Income,Tk mn,2304.15,3157.72,6203.98,7482.8,8600.64,6616.23,8895.23,8628.54,7413.24,7904.06,9546.99
Non-Interest Income,Tk mn,5639.87,6931.26,5650.33,4357.71,4575.36,3927.34,4482.98,6729.1,6336.05,6202.27,4347.58
Net Profit After Tax,Tk mn,1393.29,2227.36,3017.73,3000.95,2175.49,2161.32,3418.62,2202.58,2028.61,631.22,1199.87
EPS,BDT,1.88,3.01,3.7,3.68,2.32,2.2,3.31,1.99,1.83,0.57,1.08
ROA %,%,0.0079,0.0115,0.013,0.0109,0.0078,0.0073,0.0099,0.0059,0.0052,0.0015,0.0026
ROE %,%,0.096,0.1378,0.1755,0.1655,0.1099,0.1005,0.147,0.0887,0.0792,0.0244,0.0459
Loan-Deposit Ratio %,%,0.8158,0.9132,0.8425,0.863,0.841,0.843,0.8598,0.8682,0.8557,0.8253,0.7289
NPL % (gross),%,0.0495,0.0513,0.0379,0.0482,0.0486,0.0472,0.0454,0.0709,0.0608,0.1725,0.1519
Provision Coverage %,%,1.0007,0.9081,0.5244,0.441,0.393,0.4155,0.4236,0.4046,0.3696,0.2212,0.1487
CRAR % (Group),%,0.1187,0.1303,0.1193,0.1328,0.1392,0.1361,0.1409,0.1435,0.1479,0.1307,0.1252
Cost-to-Income Ratio % (Group),%,0.5046,0.5603,0.4457,0.4641,0.4417,0.6256,0.5431,0.5352,0.6065,0.6006,0.5813
Estimated NPL amount,Tk mn,6250.77,7745.88,7564.72,10802.43,11502.61,11751.16,12112.51,19928.63,17313.35,51761.7,43420.65
NPL / Total Assets %,%,0.0342,0.0379,0.0291,0.0371,0.0364,0.0355,0.0337,0.0521,0.0431,0.1164,0.0909
YoY NPAT growth %,%,0.1723,0.5987,N/A,-0.0056,-0.2751,-0.0065,0.5818,-0.3557,-0.079,-0.6888,0.9009
YoY Equity growth %,%,0.1475,0.0835,N/A,0.0625,0.1191,0.0571,0.1042,0.0357,0.0281,-0.0067,0.0254
