metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,189563.0,165370.0,253068.0,282451.0,335163.0,336936.0,306501.0,353644.0,366606.0,457204.0,505192.0
Loans & Advances,Tk mn,130226.0,114356.0,184027.0,209306.0,232051.0,228944.0,226012.0,253836.0,261023.0,300780.0,319105.0
Total Deposits,Tk mn,127990.0,131272.0,167348.0,199629.0,240164.0,242358.0,211782.0,232657.0,262584.0,328837.0,364086.0
Shareholders' Equity,Tk mn,20496.0,N/A,21586.0,22966.0,25567.0,28976.0,19655.0,21331.0,24106.0,25505.0,30403.0
Net Interest Income,Tk mn,3545.0,N/A,5745.0,7506.0,8159.0,5930.0,5747.0,3867.0,7253.0,8065.0,2848.0
Non-Interest Income,Tk mn,6542.0,N/A,6656.0,5633.0,6439.0,8204.0,7057.0,12235.0,10233.0,14444.0,19647.0
Net Profit After Tax,Tk mn,2221.0,1464.0,2405.0,3081.0,4008.0,4103.0,2973.0,2369.0,2860.0,3167.0,3393.0
EPS,BDT,3.63,3.3,3.26,4.17,4.94,5.05,3.66,2.65,2.91,3.22,3.14
ROA %,%,0.0123,N/A,0.0104,0.0115,0.013,0.0122,0.0103,0.0072,0.0079,0.0077,0.0071
ROE %,%,0.1095,0.1561,0.1141,0.1383,0.1652,0.1504,0.1622,0.1156,0.1259,0.1277,0.1214
Loan-Deposit Ratio %,%,0.8787,N/A,0.8306,0.8308,0.772,0.7413,0.8242,0.8397,0.8419,0.7676,0.7505
NPL % (gross),%,0.0327,N/A,0.025,0.0235,0.0335,0.0272,0.058,0.0577,0.066,0.0695,0.0577
Provision Coverage %,%,1.1685,N/A,1.5952,1.5039,1.2042,1.7951,0.7111,0.857,0.917,0.9666,1.1107
CRAR % (Group),%,0.1392,N/A‡,0.1409,0.1216,0.1474,0.1503,0.1441,0.145,0.1498,0.1362,0.1355
Cost-to-Income Ratio % (Group),%,0.4833,N/A,0.452,0.4563,0.4376,0.458,0.5579,0.5154,0.5305,0.4759,0.5379
Estimated NPL amount,Tk mn,4258.4,N/A,4600.7,4918.7,7773.7,6227.3,13108.7,14646.3,17227.52,20904.21,18412.76
NPL / Total Assets %,%,0.0225,N/A,0.0182,0.0174,0.0232,0.0185,0.0428,0.0414,0.047,0.0457,0.0364
YoY NPAT growth %,%,0.054,0.0713,N/A,0.281,0.301,0.024,n/a*,-0.2032,0.2073,0.1073,0.0714
YoY Equity growth %,%,N/A,N/A,N/A,N/A,0.113,0.133,n/a*,0.0853,0.1301,0.058,0.192
