metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,252161.0,256599.0,281467.0,295613.0,323788.0,345724.0,388100.0,431604.0,471285.0,548118.0,648977.0
Loans & Advances,Tk mn,151865.0,170212.0,198323.0,205810.0,213955.0,232400.0,263015.0,296481.0,315293.0,343458.0,353255.0
Total Deposits,Tk mn,194825.0,197934.0,199014.0,197518.0,216444.0,233028.0,243070.0,265841.0,305269.0,358868.0,444943.0
Shareholders' Equity,Tk mn,26415.0,25285.0,24901.0,27894.0,28150.0,27254.0,28377.0,30863.0,33614.0,39020.0,46394.0
Net Interest Income,Tk mn,1294.0,3313.0,4894.0,7650.0,8273.0,5574.0,8063.0,8363.0,9284.0,9222.0,3766.0
Non-Interest Income,Tk mn,10779.0,8710.0,7255.0,5250.0,5858.0,7080.0,6986.0,8139.0,8483.0,14616.0,21770.0
Net Profit After Tax,Tk mn,2139.0,2195.0,1252.0,2193.0,1662.0,1797.0,3111.0,4022.0,4838.0,7446.0,8904.0
EPS,BDT,2.08,2.13,1.11,1.94,1.47,1.59,2.75,3.55,4.27,6.42,7.67
ROA %,%,0.84,0.86,0.45,0.76,0.54,0.54,0.85,0.98,1.07,1.46,1.49
ROE %,%,8.41,8.49,5.07,8.31,5.93,6.67,11.18,13.58,15.01,20.56,20.85
Loan-Deposit Ratio %,%,77.95,85.99,84.43,82.65,80.11,79.5,83.99,85.3,79.35,78.1,68.28
NPL % (gross),%,7.82,5.96,5.45,6.16,4.66,3.46,4.83,3.42,3.54,4.22,2.73
Provision Coverage %,%,44.83,33.53,83.0,65.0,103.0,151.0,109.0,140.0,150.0,119.0,151.0
CRAR % (Group),%,12.69,12.3,14.01,17.04,17.42,17.28,17.17,16.78,17.59,17.37,18.07
Cost-to-Income Ratio % (Group),%,51.71,53.75,55.98,55.66,50.82,54.88,45.24,46.99,47.12,40.15,44.23
Estimated NPL amount,Tk mn,11882.8,10139.48,10799.0,12686.0,9966.0,8034.0,12713.0,10132.0,11168.0,14489.0,9631.0
NPL / Total Assets %,%,4.71,3.95,3.84,4.29,3.08,2.32,3.28,2.35,2.37,2.64,1.48
YoY NPAT growth %,%,N/A,2.62,-11.21,75.16,-24.21,n/a,73.12,29.28,20.29,53.9,19.58
YoY Equity growth %,%,N/A,-4.28,1.64,12.02,0.92,n/a,4.12,8.76,8.91,16.08,18.9
