metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,N/A,320361.89,368314.62,409744.09,478074.84,565032.07,629481.34,712755.71,814866.57,981203.16,1180136.62
Loans & Advances,Tk mn,N/A,203011.23,239539.6,270909.51,287034.67,315578.9,376656.43,461884.13,554495.5,629254.27,711406.26
Total Deposits,Tk mn,N/A,247278.5,271605.83,308899.77,359418.89,429343.02,462400.22,510836.52,606296.41,745231.77,895194.94
Shareholders' Equity,Tk mn,N/A,25144.4,24420.31,27377.1,32271.71,38808.04,39453.55,42486.09,46844.04,52605.95,69611.97
Net Interest Income,Tk mn,N/A,7144.23,7855.9,9021.49,8368.88,2865.04,836.88,6572.6,10019.77,15081.43,9495.7
Non-Interest Income,Tk mn,N/A,6804.81,8293.92,8237.97,10041.0,15458.99,3616.72,4881.74,4897.96,6545.02,7126.15
Net Profit After Tax,Tk mn,N/A,1334.95,-281.2,3424.06,2143.27,3669.51,3904.55,5321.77,6808.47,7624.52,10795.56
EPS,BDT,N/A,1.4,-0.28,3.33,2.08,3.57,3.8,5.18,5.89,5.86,8.3
ROA %,%,N/A,0.0042,-0.0008,0.0084,0.0045,0.0065,0.0065,0.0079,0.0089,0.0085,0.01
ROE %,%,N/A,0.0531,-0.0115,0.1251,0.0751,0.0946,0.0982,0.1253,0.1526,0.1457,0.1551
Loan-Deposit Ratio %,%,N/A,0.821,0.8334,0.8294,0.7621,0.7071,0.7758,0.8479,0.8685,0.7732,0.7253
NPL % (gross),%,N/A,0.0538,0.0868,0.0546,0.0438,0.0273,0.0305,0.0262,0.0286,0.0436,0.022
Provision Coverage %,%,N/A,1.0697,1.0001,1.0,1.0001,1.0619,1.0011,1.0013,1.0031,1.0015,1.0
CRAR % (Group),%,N/A,0.1122,0.1234,0.1217,0.138,0.1473,0.1423,0.1384,0.1387,0.1377,0.1534
Cost-to-Income Ratio % (Group),%,N/A,0.53,0.4948,0.4868,0.4863,0.5427,0.5308,0.55,0.4975,0.4605,0.4447
Estimated NPL amount,Tk mn,N/A,10921.46,20786.94,14778.27,12560.6,8622.01,11480.11,12121.23,15862.02,27407.76,15643.59
NPL / Total Assets %,%,N/A,0.0341,0.0564,0.0361,0.0263,0.0153,0.0182,0.017,0.0195,0.0279,0.0133
YoY NPAT growth %,%,N/A,N/A,-1.2107,N/M,-0.374,0.7122,N/A,0.363,0.2794,0.1199,0.416
YoY Equity growth %,%,N/A,N/A,-0.0288,0.1211,0.1788,0.2025,N/A,0.0769,0.1026,0.123,0.3233
