metric,unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total Assets,Tk mn,260718.03,291798.01,339288.05,381575.68,422312.71,465293.41,495841.96,493092.84,510864.24,545858.6,554424.56
Loans & Advances,Tk mn,168878.46,191865.59,234316.72,267671.63,296752.96,322251.46,336329.37,347743.59,354353.23,372907.25,377258.69
Total Deposits,Tk mn,210431.09,229973.43,269828.08,298334.79,329250.27,359535.94,376700.77,371143.44,386402.44,411343.9,439234.9
Shareholders' Equity,Tk mn,27206.66,26523.56,25823.65,28116.66,30499.46,29703.77,29987.33,30755.56,32044.73,31543.57,34418.82
Net Interest Income,Tk mn,3138.46,4207.21,4027.69,5199.94,4256.99,2481.41,2921.56,3144.32,2661.03,4021.2,2115.55
Non-Interest Income,Tk mn,8465.93,3565.64,4334.7,4632.22,4844.75,11289.14,11751.22,14443.01,14118.37,15142.09,17702.47
Net Profit After Tax,Tk mn,3069.42,2435.07,1168.63,2473.21,2508.56,2149.1,1784.3,1752.38,2133.83,432.64,3350.33
EPS,BDT,3.35,2.66,1.11,2.13,2.11,1.81,1.5,1.42,1.66,0.32,2.51
ROA %,%,0.0123,0.0088,0.0037,0.0069,0.0062,0.0047,0.0037,0.0036,0.0042,0.0009,0.0061
ROE %,%,0.1186,0.0906,0.0446,0.0917,0.0856,0.0714,0.0598,0.0577,0.068,0.0136,0.1016
Loan-Deposit Ratio %,%,0.8025,0.8343,0.8212,0.8155,0.8163,0.8026,0.787,0.8486,0.8581,0.8549,0.8332
NPL % (gross),%,0.0425,0.0489,0.0599,0.0587,0.0487,0.031,0.0481,0.0654,0.0965,0.1482,0.0751
Provision Coverage %,%,0.323,0.6653,0.7255,0.8537,1.306,2.4011,1.6355,1.2767,0.8949,0.5968,0.8061
CRAR % (Group),%,0.1152,0.1215,0.1084,0.1238,0.1152,0.1435,0.1386,0.1275,0.1341,0.1164,0.1361
Cost-to-Income Ratio % (Group),%,0.3077,0.3384,0.3496,0.3461,0.3758,0.3998,0.409,0.407,0.4721,0.3883,0.3956
Estimated NPL amount,Tk mn,7193.82,9257.79,13878.53,15558.85,14375.29,9939.76,16035.56,22570.29,33899.63,54813.65,28127.54
NPL / Total Assets %,%,0.0276,0.0317,0.0409,0.0408,0.034,0.0214,0.0323,0.0458,0.0664,0.1004,0.0507
YoY NPAT growth %,%,-20.0,N/A,-0.52,1.1163,0.0143,-0.1433,-0.1698,-0.0179,0.2177,-0.7972,6.7442
YoY Equity growth %,%,0.1085,N/A,-0.0264,0.0888,0.0848,-0.0261,0.0095,0.0256,0.0419,-0.0156,0.0911
