,,,,,,,,,,,,
,Mercantile Bank PLC — Financial Dataset (2025 -2015),,,,,,,,,,,
,Summery ,,,,,,,,,,,
,Mean ROE % (2015-2025),,,,,,0.1064,,,,,
,Std Dev ROE % (2015-2025),,,,,,0.04742840921,,,,,
,"Sharpe-like ratio (rf=3%, full period)",,,,,,1.610848883,,,,,
,Rolling mean ROE % (2019-2024 window),,,,,,0.09161666667,,,,,
,Rolling std dev ROE % (2019-2024),,,,,,0.04040115922,,,,,
,Rolling Sharpe-like ratio (2019-2024),,,,,,1.525121255,,,,,
,Equity CAGR % (2015-2025),,,,,,0.05486343801,,,,,
,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",,,,,,-81.5,,,,,
,"Newey-West (HAC) trend regression: NPL% vs year, slope",,,,,,1.007,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Metric,Unit,2025.0,2024.0,2023.0,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0
BALANCE SHEET (BDT million),,,,,,,,,,,,
Total Assets,Tk mn,477887.53,444690.3,402173.04,382328.47,359411.36,330785.56,316363.47,291385.64,260169.93,204127.47,182800.17
Loans & Advances,Tk mn,285935.57,300025.11,284830.98,280890.53,266766.89,248994.39,236890.45,224230.61,199660.72,150912.52,126338.83
Total Deposits,Tk mn,394682.05,355121.12,317227.09,294060.0,274905.61,252817.4,262961.05,243643.42,220516.63,165257.45,154869.52
Shareholders' Equity,Tk mn,26465.41,25810.06,25984.47,25275.15,24403.9,22101.78,20908.29,18683.55,17584.02,16809.61,15513.73
INCOME STATEMENT (BDT million),,,,,,,,,,,,
Net Interest Income,Tk mn,9546.99,7904.06,7413.24,8628.54,8895.23,6616.23,8600.64,7482.8,6203.98,3157.72,2304.15
Non-Interest Income,Tk mn,4347.58,6202.27,6336.05,6729.1,4482.98,3927.34,4575.36,4357.71,5650.33,6931.26,5639.87
Net Profit After Tax,Tk mn,1199.87,631.22,2028.61,2202.58,3418.62,2161.32,2175.49,3000.95,3017.73,2227.36,1393.29
PER-SHARE & PROFITABILITY,,,,,,,,,,,,
EPS,BDT,1.08,0.57,1.83,1.99,3.31,2.2,2.32,3.68,3.7,3.01,1.88
ROA %,%,0.0026,0.0015,0.0052,0.0059,0.0099,0.0073,0.0078,0.0109,0.013,0.0115,0.0079
ROE %,%,0.0459,0.0244,0.0792,0.0887,0.147,0.1005,0.1099,0.1655,0.1755,0.1378,0.096
ASSET QUALITY,,,,,,,,,,,,
Loan-Deposit Ratio %,%,0.7289,0.8253,0.8557,0.8682,0.8598,0.843,0.841,0.863,0.8425,0.9132,0.8158
NPL % (gross),%,0.1519,0.1725,0.0608,0.0709,0.0454,0.0472,0.0486,0.0482,0.0379,0.0513,0.0495
Provision Coverage %,%,0.1487,0.2212,0.3696,0.4046,0.4236,0.4155,0.393,0.441,0.5244,0.9081,1.0007
CAPITAL & EFFICIENCY,,,,,,,,,,,,
CRAR % (Group),%,0.1252,0.1307,0.1479,0.1435,0.1409,0.1361,0.1392,0.1328,0.1193,0.1303,0.1187
Cost-to-Income Ratio % (Group),%,0.5813,0.6006,0.6065,0.5352,0.5431,0.6256,0.4417,0.4641,0.4457,0.5603,0.5046
DERIVED METRICS,,,,,,,,,,,,
Estimated NPL amount,Tk mn,43420.65,51761.7,17313.35,19928.63,12112.51,11751.16,11502.61,10802.43,7564.72,7745.88,6250.77
NPL / Total Assets %,%,0.0909,0.1164,0.0431,0.0521,0.0337,0.0355,0.0364,0.0371,0.0291,0.0379,0.0342
YoY NPAT growth %,%,0.9009,-0.6888,-0.079,-0.3557,0.5818,-0.0065,-0.2751,-0.0056,N/A,0.5987,0.1723
YoY Equity growth %,%,0.0254,-0.0067,0.0281,0.0357,0.1042,0.0571,0.1191,0.0625,N/A,0.0835,0.1475
