,,,,,,,,,,,,
,,,,,,,,,,,,
,Pubali Bank PLC — Financial Dataset (2025 -2015),,,,,,,,,,,
,Summery ,,,,,,,,,,,
,Mean ROE % (2015-2025),,,,,,0.10133,,,,,
,Std Dev ROE % (2015-2025),,,,,,0.05209813496,,,,,
,"Sharpe-like ratio (rf=3%, full period)",,,,,,1.3691469,,,,,
,Rolling mean ROE % (2019-2024 window),,,,,,0.11525,,,,,
,Rolling std dev ROE % (2019-2024),,,,,,0.03082977457,,,,,
,Rolling Sharpe-like ratio (2019-2024),,,,,,2.765184021,,,,,
,Equity CAGR % (2015-2025),,,,,,0.1197938344,,,,,
,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",,,,,,-121.1,,,,,
,"Newey-West (HAC) trend regression: NPL% vs year, slope",,,,,,-0.4655757576,,,,,
,,,,,,,,,,,,
Metric,Unit,2025.0,2024.0,2023.0,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0
BALANCE SHEET (BDT million),,,,,,,,,,,,
Total Assets,Tk mn,1180136.62,981203.16,814866.57,712755.71,629481.34,565032.07,478074.84,409744.09,368314.62,320361.89,N/A
Loans & Advances,Tk mn,711406.26,629254.27,554495.5,461884.13,376656.43,315578.9,287034.67,270909.51,239539.6,203011.23,N/A
Total Deposits,Tk mn,895194.94,745231.77,606296.41,510836.52,462400.22,429343.02,359418.89,308899.77,271605.83,247278.5,N/A
Shareholders' Equity,Tk mn,69611.97,52605.95,46844.04,42486.09,39453.55,38808.04,32271.71,27377.1,24420.31,25144.4,N/A
INCOME STATEMENT (BDT million),,,,,,,,,,,,
Net Interest Income,Tk mn,9495.7,15081.43,10019.77,6572.6,836.88,2865.04,8368.88,9021.49,7855.9,7144.23,N/A
Non-Interest Income,Tk mn,7126.15,6545.02,4897.96,4881.74,3616.72,15458.99,10041.0,8237.97,8293.92,6804.81,N/A
Net Profit After Tax,Tk mn,10795.56,7624.52,6808.47,5321.77,3904.55,3669.51,2143.27,3424.06,-281.2,1334.95,N/A
PER-SHARE & PROFITABILITY,,,,,,,,,,,,
EPS,BDT,8.3,5.86,5.89,5.18,3.8,3.57,2.08,3.33,-0.28,1.4,N/A
ROA %,%,0.01,0.0085,0.0089,0.0079,0.0065,0.0065,0.0045,0.0084,-0.0008,0.0042,N/A
ROE %,%,0.1551,0.1457,0.1526,0.1253,0.0982,0.0946,0.0751,0.1251,-0.0115,0.0531,N/A
ASSET QUALITY,,,,,,,,,,,,
Loan-Deposit Ratio %,%,0.7253,0.7732,0.8685,0.8479,0.7758,0.7071,0.7621,0.8294,0.8334,0.821,N/A
NPL % (gross),%,0.022,0.0436,0.0286,0.0262,0.0305,0.0273,0.0438,0.0546,0.0868,0.0538,N/A
Provision Coverage %,%,1.0,1.0015,1.0031,1.0013,1.0011,1.0619,1.0001,1.0,1.0001,1.0697,N/A
CAPITAL & EFFICIENCY,,,,,,,,,,,,
CRAR % (Group),%,0.1534,0.1377,0.1387,0.1384,0.1423,0.1473,0.138,0.1217,0.1234,0.1122,N/A
Cost-to-Income Ratio % (Group),%,0.4447,0.4605,0.4975,0.55,0.5308,0.5427,0.4863,0.4868,0.4948,0.53,N/A
DERIVED METRICS,,,,,,,,,,,,
Estimated NPL amount,Tk mn,15643.59,27407.76,15862.02,12121.23,11480.11,8622.01,12560.6,14778.27,20786.94,10921.46,N/A
NPL / Total Assets %,%,0.0133,0.0279,0.0195,0.017,0.0182,0.0153,0.0263,0.0361,0.0564,0.0341,N/A
YoY NPAT growth %,%,0.416,0.1199,0.2794,0.363,N/A,0.7122,-0.374,N/M,-1.2107,N/A,N/A
YoY Equity growth %,%,0.3233,0.123,0.1026,0.0769,N/A,0.2025,0.1788,0.1211,-0.0288,N/A,N/A
