,,,,,,,,,,,,
,South East Bank PLC — Financial Dataset (2025 -2015),,,,,,,,,,,
,Summery ,,,,,,,,,,,
,Mean ROE % (2015-2025),,,,,,0.07301818182,,,,,
,Std Dev ROE % (2015-2025),,,,,,0.02913131711,,,,,
,"Sharpe-like ratio (rf=3%, full period)",,,,,,1.476698828,,,,,
,Rolling mean ROE % (2019-2024 window),,,,,,0.05935,,,,,
,Rolling std dev ROE % (2019-2024),,,,,,0.02451560727,,,,,
,Rolling Sharpe-like ratio (2019-2024),,,,,,1.197196532,,,,,
,Equity CAGR % (2015-2025),,,,,,0.02379280897,,,,,
,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",,,,,,-85.9,,,,,
,"Newey-West (HAC) trend regression: NPL% vs year, slope",,,,,,0.6207272727,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Metric,Unit,2025.0,2024.0,2023.0,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0
BALANCE SHEET (BDT million),,,,,,,,,,,,
Total Assets,Tk mn,554424.56,545858.6,510864.24,493092.84,495841.96,465293.41,422312.71,381575.68,339288.05,291798.01,260718.03
Loans & Advances,Tk mn,377258.69,372907.25,354353.23,347743.59,336329.37,322251.46,296752.96,267671.63,234316.72,191865.59,168878.46
Total Deposits,Tk mn,439234.9,411343.9,386402.44,371143.44,376700.77,359535.94,329250.27,298334.79,269828.08,229973.43,210431.09
Shareholders' Equity,Tk mn,34418.82,31543.57,32044.73,30755.56,29987.33,29703.77,30499.46,28116.66,25823.65,26523.56,27206.66
INCOME STATEMENT (BDT million),,,,,,,,,,,,
Net Interest Income,Tk mn,2115.55,4021.2,2661.03,3144.32,2921.56,2481.41,4256.99,5199.94,4027.69,4207.21,3138.46
Non-Interest Income,Tk mn,17702.47,15142.09,14118.37,14443.01,11751.22,11289.14,4844.75,4632.22,4334.7,3565.64,8465.93
Net Profit After Tax,Tk mn,3350.33,432.64,2133.83,1752.38,1784.3,2149.1,2508.56,2473.21,1168.63,2435.07,3069.42
PER-SHARE & PROFITABILITY,,,,,,,,,,,,
EPS,BDT,2.51,0.32,1.66,1.42,1.5,1.81,2.11,2.13,1.11,2.66,3.35
ROA %,%,0.0061,0.0009,0.0042,0.0036,0.0037,0.0047,0.0062,0.0069,0.0037,0.0088,0.0123
ROE %,%,0.1016,0.0136,0.068,0.0577,0.0598,0.0714,0.0856,0.0917,0.0446,0.0906,0.1186
ASSET QUALITY,,,,,,,,,,,,
Loan-Deposit Ratio %,%,0.8332,0.8549,0.8581,0.8486,0.787,0.8026,0.8163,0.8155,0.8212,0.8343,0.8025
NPL % (gross),%,0.0751,0.1482,0.0965,0.0654,0.0481,0.031,0.0487,0.0587,0.0599,0.0489,0.0425
Provision Coverage %,%,0.8061,0.5968,0.8949,1.2767,1.6355,2.4011,1.306,0.8537,0.7255,0.6653,0.323
CAPITAL & EFFICIENCY,,,,,,,,,,,,
CRAR % (Group),%,0.1361,0.1164,0.1341,0.1275,0.1386,0.1435,0.1152,0.1238,0.1084,0.1215,0.1152
Cost-to-Income Ratio % (Group),%,0.3956,0.3883,0.4721,0.407,0.409,0.3998,0.3758,0.3461,0.3496,0.3384,0.3077
DERIVED METRICS,,,,,,,,,,,,
Estimated NPL amount,Tk mn,28127.54,54813.65,33899.63,22570.29,16035.56,9939.76,14375.29,15558.85,13878.53,9257.79,7193.82
NPL / Total Assets %,%,0.0507,0.1004,0.0664,0.0458,0.0323,0.0214,0.034,0.0408,0.0409,0.0317,0.0276
YoY NPAT growth %,%,6.7442,-0.7972,0.2177,-0.0179,-0.1698,-0.1433,0.0143,1.1163,-0.52,N/A,−20.00%
YoY Equity growth %,%,0.0911,-0.0156,0.0419,0.0256,0.0095,-0.0261,0.0848,0.0888,-0.0264,N/A,0.1085
