metric,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total Assets,Tk mn,27518.8,28847.7,32710.5,46857.8,50259.9,51456.4,54541.4,58058.0,59191.0,58396.0,55302.0,61156.6,60968.6,63504.3,59896.9,,
"Loans & Advances, gross",Tk mn,9906.0,10046.1,14743.1,15457.2,16501.0,18137.5,18078.4,17946.0,19307.0,19984.0,21290.0,24134.3,24796.6,26571.1,25549.5,,
Total Deposits,Tk mn,3254.0,4706.8,7945.5,19988.8,23350.1,23371.7,26374.9,28580.0,28312.0,27646.0,24219.0,29005.1,29145.0,30535.6,27530.6,,
Shareholders' Equity,Tk mn,15637.3,14863.8,15698.8,16470.3,17537.8,17983.9,18189.8,18552.0,19102.0,19072.0,19023.0,18994.6,19106.0,19116.7,19093.0,,
Net Interest Income,Tk mn,684.6,895.8,879.8,949.1,301.5,318.5,304.9,522.4,1155.9,659.3,340.1,161.7,389.2,440.7,75.7,,
Non-Interest Income,Tk mn,1037.9,703.4,1011.9,2321.8,2379.7,1856.4,1599.7,1819.2,1332.5,824.3,960.4,1462.8,1378.3,1070.4,1465.5,,
Net Profit After Tax,Tk mn,644.5,686.0,837.0,883.0,1129.2,517.3,382.3,563.2,748.9,65.6,44.9,63.8,101.3,102.0,55.8,,
EPS,BDT,16.11,17.15,20.92,22.07,28.23,12.93,9.56,14.08,18.72,1.64,1.12,1.06,1.69,1.7,0.93,,
ROA %,%,0.02342035263,0.02378005872,0.02558811391,0.01884424792,0.02246721541,0.01005317123,0.007009354362,0.009700644183,0.01265226132,0.001123364614,0.0008119055369,0.001043223462,0.001661511007,0.001606190447,0.0009316008007,,
ROE %,%,0.04121555512,0.0461523971,0.05331617703,0.05361165249,0.06438663915,0.02876461724,0.02101727342,0.03035791289,0.03920531881,0.003439597315,0.002360300689,0.003358849357,0.005301999372,0.005335648935,0.002922537055,,
NPL % (gross),%,0.3131,0.3828,0.4299,0.4,0.3832,0.4518,0.4958,0.4653,0.4607,0.3834,0.2801,0.3077,0.4137,0.3739,0.413,,
NPL amount,Tk mn,3101.7,3107.0,5417.9,5202.7,5241.4,6945.6,7318.3,8350.3,8895.6,7662.5,5962.6,7426.2,10259.0,9934.1,10552.2,,
Provision Coverage %,%,0.5436051198,0.5691342131,0.4012255671,0.6380340977,0.4532758423,0.4446268141,0.4509107306,0.4481874903,0.4276945906,0.5086460033,0.6536578003,0.5469284425,0.3788185983,0.3852487895,0.2857982222,,
Loan-Deposit Ratio %,%,3.044253227,2.134380046,1.855528286,0.7732930441,0.7066779157,0.7760453882,0.6854395656,0.6279216235,0.6819369878,0.7228532157,0.8790618936,0.8320709117,0.8508011666,0.8701679351,0.9280400718,,
Capital Adequacy Ratio %,%,0.2808,0.289,0.2726,0.2478,0.2458,0.2577,0.2576,0.2661,0.2695,0.2218,0.2288,0.2338,0.2313,0.2256,0.2238,,
Cost-to-Income Ratio %,%,0.521161103,0.4615432716,0.4565734525,0.3524717968,0.4409219752,0.4435606235,0.658458469,0.5065123628,0.5287333226,0.7067268806,0.9149557862,0.7471221914,0.7169448373,0.8309066843,0.8209836491,,
NPL / Total Assets %,%,0.1127120369,0.1077035604,0.1656318308,0.1110316746,0.1042859218,0.134980294,0.1341788073,0.1438268628,0.1502863611,0.1312161792,0.1078188854,0.1214292488,0.168266944,0.1564319267,0.1761727235,,
YoY NPAT growth %,%,,0.06439100078,0.2201166181,0.05495818399,0.2788221971,-0.5418880623,-0.2609704234,0.4731885953,0.3297230114,-0.9124048605,-0.3155487805,0.420935412,0.5877742947,0.006910167818,-0.4529411765,,
YoY Total Assets growth %,%,,0.04829062314,0.1339032228,0.4325002675,0.07260477445,0.02380625509,0.05995366951,0.0644757927,0.01951496779,-0.01343109594,-0.05298308103,0.1058659723,-0.003074075406,0.04159026122,-0.05680560214,,
