metric,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total Assets,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159847.055483,175276.253182,191302.593523,194569.3177,212922.635487,229959.898416,234448.780749,241255.198824,253501.484167,268020.553164,288915.214867,335098.69283,360989.236951,413529.447242,441566.18467,478026.890566,
"Loans & Advances, gross",Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113354.483672,139490.661917,149296.07308,154214.74619,173181.968165,179960.175586,186419.992845,193672.569346,200246.95311,219227.164449,237857.529454,270917.899403,295554.512958,320483.252536,366001.22884,386314.179732,
Total Deposits,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112149.881771,129604.832227,144682.576601,154462.125183,178006.466553,198912.373336,211824.319311,227380.620852,241832.573252,257338.199942,276953.34791,331143.202129,382313.224539,407196.979542,452928.26975,504258.833753,
Shareholders' Equity,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13391.098378,-14933.883837,-11930.266233,-15827.12665,-45737.783413,-45390.31974,-52177.757051,-57771.023836,-60024.824395,-65483.607812,-77635.417556,-90435.560961,-104399.316218,-127912.911269,-192502.132631,-274919.844523,
Net Interest Income,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012.809322,1569.606685,1278.665837,-369.887398,-173.08719,392.36278,211.317089,2092.475769,579.91135,-967.374655,-3997.887225,-3847.129526,-4439.308412,-4711.086012,-4255.774026,-9592.527119,
Non-Interest Income,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.113089,2106.150377,2249.2226,1667.197276,1408.775558,1510.576037,1450.834888,1056.665212,916.300204,1008.24856,924.218978,876.050726,940.361312,1278.552539,3070.420183,4574.733769,
Net Profit After Tax,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1542.785459,-1404.042246,-3896.843917,-29910.506762,-2152.536327,-6787.437312,-5658.682967,-6258.476618,-6793.244929,-12411.809746,-12825.190466,-13363.788108,-23848.525208,-65133.858558,-82569.378558,
EPS,BDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.008802022128,-0.007339379044,-0.02002804945,-0.1404759372,-0.00936048564,-0.02895061894,-0.02345517524,-0.02468812614,-0.02534598503,-0.04296004193,-0.03827287525,-0.03701990735,-0.0576706819,-0.147506446,-0.1727295685,
ROE %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1033077179,0.1176874194,0.2462129737,0.653956194,0.04742280599,0.1300829644,0.09795019356,0.1042648051,0.1037396252,0.1598730339,0.1418157894,0.1280064716,0.1864434557,0.3383539583,0.3003398271,
NPL % (gross),%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2477,0.2171,0.2698,0.3078,0.26345951077614,0.239500972893877,0.2597,0.2228,0.1965,0.17,0.12,0.09,0.0941,0.2151,0.3865,0.4666,
NPL amount,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28082.606,30283.608,40273.4,47474.5,45626.436608,43100.637135,48413.0,43158.7,39351.4,35660.9,27327.1,24051.2,26254.4,65008.8,141474.696937,180237.697605,
Provision Coverage %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241484727948681,0.223687256650529,0.167961979867605,0.142329039800314,0.605595590652706,0.586875588445985,0.522539400574226,0.566638939541738,0.56904709870551,0.551491970197051,0.689194974951605,0.793124667376264,0.724750898896947,0.387349097352974,0.51800885567286,0.729441894481639,
Loan-Deposit Ratio %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010741,1.076276706,1.031887022,0.9983984489,0.9728970611,0.9047208706,0.8800688866,0.85175495,0.8280396243,0.8519029219,0.8588360865,0.8181291286,0.7730690282,0.7870472244,0.8080776875,0.7661029493,
Capital Adequacy Ratio %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4064,-0.3763,-0.4687,-0.4801,-0.3986,-0.3685,-0.4168,-0.401,-0.4425,-0.5241,-0.7359,-1.3308,
Cost-to-Income Ratio %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.397983743,3.994094459,5.01990544,3.353362932,5.083523893,3.052614985,6.504256883,229.9103415,-3.266986169,-3.203760025,-2.764692032,-4.090485077,-12.38801241,-2.853329407,
NPL / Total Assets %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1756842246,0.1727764455,0.210521976,0.2439978747,0.2142864543,0.1874267532,0.2064971285,0.1788923108,0.1552314383,0.1330528558,0.0945851883,0.07177348201,0.07272903819,0.157204766,0.32039296,0.3770451018,
YoY NPAT growth %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0899303349,-1.775446343,-6.675572181,0.9280341071,-2.153227765,0.1663005186,-0.1059952739,-0.08544704145,-0.8270811484,-0.03330543478,-0.04199529383,-0.7845632552,-1.731148278,-0.2676875036,1.0
YoY Total Assets growth %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09652475394,0.09143474972,0.01707621479,0.09432791359,0.08001621288,0.01952028316,0.02903157804,0.05076071066,0.05727409859,0.07795917685,0.1598513183,0.07726244439,0.1455450881,0.06779864799,0.08257132716,-1.0
