metric,unit,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total Assets,Tk mn,406.73,661.91,991.37,1646.95,2321.13,2609.85,3280.16,3962.55,4350.14,5620.57,7173.17,7730.67,9721.93,13019.42,14766.32,19436.57,27136.37,29417.09,38773.91,46660.03,45308.31,61569.38,78031.73,109682.06,157072.19,171118.53,194173.36,204739.63,198816.67,191560.41,194915.97,196678.18,195561.35,180575.95,168181.44,,,
"Loans & Advances, gross",Tk mn,66.45,200.0,432.8,715.75,986.61,1112.24,1561.29,1724.81,2630.9,3218.9,3960.11,4618.73,6260.78,7957.04,9282.2,12000.15,15339.35,19000.0,22263.35,27269.13,29261.53,46341.51,56884.76,85955.76,109428.44,89392.86,128807.01,134882.8,145568.59,151968.05,151769.61,149125.94,144451.77,134595.36,131524.83,,,
Total Deposits,Tk mn,317.72,529.19,843.79,1367.36,1977.6,2241.33,2773.73,3357.05,3541.6,4551.48,5647.93,5845.15,7512.62,10021.24,11266.54,15509.18,22325.58,24084.65,31947.98,38368.23,34501.69,49259.6,62650.73,87693.23,134493.45,139934.06,148167.23,158070.98,143180.24,131821.58,138307.35,139714.95,150980.39,148961.57,146933.94,,,
Shareholders' Equity,Tk mn,81.09,84.36,84.83,90.48,107.81,133.49,185.96,243.73,338.34,474.48,584.43,697.77,761.35,1012.9,1249.29,1491.23,1726.14,2239.0,2596.58,2982.59,3923.95,4474.43,5481.76,6440.58,6039.18,13013.92,25947.08,10808.32,13907.09,10381.32,7007.14,3693.13,-574.91,-2107.27,-6142.49,,,
Net Interest Income,Tk mn,,,,,,,,,,,,,,,,,797.06,962.69,938.1,1120.517,1003.202,1303.48,2187.346,2476.28,1701.0,-1395.91,,-1055.8,-188.15,-1259.95,-2382.96,-4204.86,-4422.95,-2464.5,-4784.62,,,
Non-Interest Income,Tk mn,,,,,,,,,,,,,,,,,447.17,591.77,682.95,1230.877,1285.131,1783.5,1726.213,2381.397,2529.79,3043.24,,3833.88,3426.18,3124.51,2401.34,3207.79,3105.75,3780.03,3308.99,,,
Net Profit After Tax,Tk mn,1.09,3.27,2.87,4.13,17.33,25.68,52.48,57.77,94.61,136.15,159.95,173.34,213.67,251.55,236.39,291.48,285.49,554.14,282.96,549.86,648.85,660.93,976.11,27.89,-531.53,-1100.16,-3140.36,-14930.4,-6843.69,-3538.95,-3269.03,-3718.18,-3969.79,-1301.65,-4162.95,,,
EPS,BDT,,,,,,,,,,,,,,,,35.99,35.21,58.64,21.6,41.99,44.59,33.64,33.12,0.95,-18.04,-37.33,,-13.76,-6.31,-3.26,-3.01,-3.43,-3.66,-1.2,-3.84,,,
ROA %,%,0.002679910506,0.004940248674,0.002894983709,0.002507665685,0.007466191036,0.009839645957,0.01599921955,0.01457899585,0.02174872533,0.02422352181,0.02229837018,0.02242237736,0.02197814631,0.01932113719,0.01600872797,0.01499647314,0.01052056705,0.01883734931,0.007297690638,0.01178439019,0.0143207725,0.01073471911,0.01250914211,0.0002542804174,-0.003383985415,-0.006429227741,-0.01617297038,-0.0729238399,-0.0344221136,-0.0184743288,-0.01677148363,-0.01890489326,-0.02029946101,-0.007208324254,-0.02475273134,,,
ROE %,%,0.01344185473,0.03876244666,0.03383237062,0.04564544651,0.1607457564,0.1923739606,0.2822112282,0.2370245764,0.279629958,0.286945709,0.2736854713,0.2484199665,0.2806462205,0.2483463323,0.1892194767,0.1954628059,0.1653921466,0.2474944172,0.1089741121,0.1843565492,0.1653563374,0.1477126695,0.178065074,0.004330355341,-0.0880136045,-0.0845371725,-0.1210294183,-1.38138027,-0.4921007918,-0.3408959554,-0.4665284267,-1.006782864,6.905063401,0.6176949323,0.6777300411,,,
NPL % (gross),%,,,,,,,,,,,,,,,,,0.0455,0.037,0.0325,0.0459,0.0483,,0.0438,0.0822,0.2875,0.5715,,0.5413,0.5463,0.5685,0.5202,0.5172,0.598,0.5785,0.6335,,,
NPL amount,Tk mn,,,,,,,,,,,,,,,,,698.44,703.27,,1251.21,1412.347,,2489.79,7065.685,31455.31,51091.16,,73006.86,79529.88,86398.01,78948.51,77121.89,86377.47,77866.55,83327.48,,,
Provision Coverage %,%,,,,,,,,,,,,,,,,,0.3935,0.4596,,0.332351084150542,0.370584565974226,,0.359217845681764,0.363066284443759,0.1265,0.0776,,0.2434,0.2669,0.2671,0.2671,0.2869,0.188,0.1227,0.0601,,,
Loan-Deposit Ratio %,%,0.2091464182,0.377936091,0.5129238318,0.5234539551,0.4988925971,0.4962410711,0.5628846355,0.5137874026,0.7428563361,0.7072205085,0.7011613104,0.7901816036,0.8333683855,0.7940175068,0.8238731678,0.7737449691,0.687075095,0.7888842063,0.6968625246,0.7107216048,0.8481187443,0.9407609887,0.9079664355,0.980186954,0.8136339725,0.6388213134,0.8693353449,0.8533052683,1.016680724,1.15283135,1.097335825,1.067358504,0.9567584903,0.9035576089,0.8951289947,,,
Capital Adequacy Ratio %,%,,,,,,,,0.1239,0.1245,0.1401,0.1427,0.153,0.1249,0.132,0.1257,0.1249,0.1177,0.1198,0.1291,0.1202,0.1348,0.0941,0.1013,0.1005,-0.0166,-0.2807,-0.0755,-0.1559,-0.1322,0.0825,0.0653,0.0308,0.0018,-0.0136,-0.0335,,,
