metric,unit,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total Assets,Tk mn,2969.71,3954.82,4498.15,6313.35,8420.83,9994.18,11248.11,14446.55,16559.5,16979.59,19736.24,24474.88,32992.43,35671.5,35646.32,40976.41,47676.04,54525.89,64244.66,67857.03,72606.03,78531.82,87559.42,95585.65,100359.68,112994.27,122771.03,125887.96,128567.89,152041.78,168234.65,156341.35,169030.51,188166.18,212663.93,243088.2,267157.3,293662.78,345233.93,440389.37,511129.41,586082.99,629454.14,683157.58,778603.91,805988.41,866046.48,895387.08,1043311.18,1249540.23,1275032.27,1387058.68,1471372.43,,
"Loans & Advances, gross",Tk mn,1132.09,1564.4,2092.4,2563.0,3561.6,4532.2,5436.7,6768.7,7786.3,8897.8,11578.87,12568.05,15180.49,16991.18,17621.22,18910.18,22721.32,26997.11,26163.33,27813.15,30800.77,35650.71,37580.26,41960.82,48754.64,52946.12,54652.64,61182.48,80952.94,93293.9,99748.74,101461.88,107785.77,124467.44,138492.51,121204.45,144678.18,166359.49,225732.21,257801.04,305339.58,285747.65,319773.25,349861.3,403037.41,459580.05,533707.16,548473.94,605351.7,699656.76,852086.77,983889.95,1007942.5,,
Total Deposits,Tk mn,1576.91,2285.62,2580.47,2921.1,4215.77,4811.22,5424.81,6628.6,7726.64,8698.42,9946.14,13710.59,18592.59,20280.8,22772.59,27018.8,31720.69,36327.31,39314.22,44891.36,50620.17,54581.22,62809.89,66562.76,75704.24,87031.68,88488.91,92436.63,104677.93,125066.38,138892.56,138596.62,151035.9,168896.95,182946.54,198635.89,221335.75,246175.05,286566.89,361676.69,409767.01,478535.57,516010.74,568911.14,641819.15,649440.78,675548.45,691409.37,824007.96,1016208.5,1014584.97,1103360.63,1098095.07,,
Shareholders' Equity,Tk mn,15.0,43.0,55.0,75.0,75.0,80.0,90.5,101.89,107.38,109.02,115.27,122.14,132.6,146.99,154.15,232.1,216.51,254.51,1115.6,2375.35,2710.94,2716.75,2717.88,2728.2,2728.91,2737.23,3117.11,3125.24,3133.62,3141.95,3152.56,3168.28,3886.92,3889.99,-5647.75,5679.17,9062.37,13860.37,20390.33,30152.91,17205.68,37116.2,39461.54,42037.35,49889.66,51363.33,54556.37,50267.95,51502.64,47428.45,45801.83,46278.55,12392.93,,
Net Interest Income,Tk mn,30.06,64.67,72.89,88.07,102.76,146.15,190.07,228.69,279.26,249.34,336.92,397.88,408.35,536.24,670.28,578.95,665.43,489.36,450.32,934.78,824.8,867.42,983.03,695.62,820.83,886.8,598.05,1052.36,271.83,295.92,535.46,1505.54,1899.8,2728.84,2914.41,1399.95,3646.71,4490.98,7067.21,8480.3,6739.96,1976.85,-2249.84,-3327.53,566.6,4051.94,7516.57,4542.99,1651.51,-820.51,315.84,2786.82,-30432.92,,
Non-Interest Income,Tk mn,11.72,31.45,40.14,88.69,112.34,98.07,75.53,108.65,146.47,169.09,161.51,167.74,264.53,318.82,237.19,314.07,393.57,564.68,536.35,241.97,445.07,521.11,606.73,962.18,864.2,934.15,1369.07,1179.47,2995.3,2765.22,3461.44,3593.52,3535.75,4239.71,5426.39,3256.06,7968.84,9206.15,11586.39,14369.42,15276.51,18882.17,22658.58,25023.65,22630.19,21326.36,16216.19,16589.33,4058.41,5949.31,7844.75,4921.97,5624.84,,
Net Profit After Tax,Tk mn,10.58,22.04,20.5,35.0,0.6,33.0,29.75,36.6,37.66,0.98,62.85,70.7,81.67,52.81,93.54,88.21,54.72,59.04,48.85,1.5,1.67,6.83,2.59,12.58,3.08,10.42,20.21,10.29,11.22,11.24,14.8,20.86,0.0,0.0,-9968.18,15.48,3145.38,2981.87,4907.97,4444.91,-16280.34,9551.39,3813.15,4807.88,2605.48,2686.5,248.97,246.44,143.18,3003.19,1133.43,553.1,-30706.13,,
EPS,BDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,121.26,78.02,98.16,60.45,-148.0,86.31,19.92,25.12,13.61,14.04,1.17,1.06,0.62,12.98,4.9,2.39,-132.7,,
ROA %,%,0.003562637429,0.00557294643,0.004557429165,0.005543807962,7.125188372e-05,0.003301921718,0.002644888786,0.002533476851,0.002274223256,5.77163524e-05,0.003184497148,0.002888676063,0.00247541633,0.001480453583,0.002624113794,0.002152702006,0.001147746331,0.001082788378,0.0007603744809,2.210529992e-05,2.300084442e-05,8.697111566e-05,2.95799127e-05,0.0001316097134,3.068961559e-05,9.221706552e-05,0.000164615382,8.173934982e-05,8.726906851e-05,7.392704821e-05,8.797236479e-05,0.0001334259938,0.0,0.0,-0.04687292293,6.368059001e-05,0.01177351321,0.01015406174,0.01421636048,0.01009313644,-0.03185169877,0.01629699234,0.006057867854,0.007037732056,0.003346348466,0.003333174481,0.0002874787968,0.0002752329194,0.0001372361408,0.002403436022,0.0008889422069,0.0003987574628,-0.02086903993,,
ROE %,%,0.7053333333,0.5125581395,0.3727272727,0.4666666667,0.008,0.4125,0.3287292818,0.3592109137,0.3507170795,0.008989176298,0.5452416067,0.5788439496,0.6159125189,0.3592761412,0.6068115472,0.3800517019,0.2527365942,0.231975168,0.04378809609,0.0006314858863,0.0006160224867,0.002514033312,0.0009529486217,0.004611098893,0.001128655764,0.003806768156,0.006483569717,0.003292547132,0.003580523484,0.003577396203,0.004694597407,0.006584014039,0.0,0.0,1.764982515,0.002725750418,0.3470813926,0.2151363925,0.2407008616,0.1474123061,-0.9462189231,0.2573374968,0.0966295284,0.1143716243,0.0522248498,0.05230385179,0.00456353676,0.004902527356,0.002780051663,0.0633204332,0.02474639114,0.01195154126,-2.477713503,,
