metric,unit,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total Assets,Tk mn,23967.9,,4640.7,7271.2,6387.2,8964.9,11755.2,17595.4,,24131.1,31351.4,34834.7,43460.8,52751.2,57339.51,62453.72,71715.69,77208.3,85327.62,92778.14,99861.58,110816.12,138706.8,156844.18,164005.24,180681.8,198900.22,221170.49,237680.25,254083.65,271021.98,266851.26,292181.57,337687.12,352893.82,461964.23,492946.15,543969.27,649267.92,695192.11,753949.69,852223.55,934592.0,1026109.0,1200590.0,1256712.0,1306842.0,1472601.0,1591233.0,1706803.0,1789772.0,1981130.0,2262301.0,2390982.0,
"Loans & Advances, gross",Tk mn,853.7,1289.8,1677.0,2150.5,2418.9,3624.8,4833.0,6755.9,9626.3,11855.5,16831.9,17010.6,22122.8,27541.2,29271.5,29807.6,35277.0,41867.6,44310.5,45217.6,48693.3,53630.5,53892.9,65829.9,76116.2,85451.4,94441.3,123562.9,133280.65,141993.25,156112.68,155197.0,168283.03,227009.62,241029.27,206347.59,231166.58,254022.5,286098.07,345991.35,378147.06,343450.53,337554.0,346346.0,384538.0,423218.0,464083.0,551026.0,586232.0,690596.0,846430.0,1008053.0,991966.0,1047243.0,
Total Deposits,Tk mn,1679.4,2102.6,2239.2,3329.3,3844.1,4661.5,5995.0,8387.9,10966.6,11926.8,15960.9,20496.8,27031.2,34576.0,35572.3,39629.2,45795.4,52214.3,57391.8,68765.8,76678.4,84684.6,101410.8,110832.5,123834.5,136061.7,151706.5,169372.7,199204.02,211882.21,218034.45,225914.64,247155.8,272875.08,296565.8,328997.21,364385.97,406151.57,478134.08,533192.17,599293.7,685894.59,778043.0,866012.0,1031608.0,1064311.0,1093866.0,1158788.0,1258786.0,1350815.0,1420362.0,1506184.0,1650201.0,1796215.0,
Shareholders' Equity,Tk mn,20.0,30.9,38.8,63.9,74.2,76.7,80.0,90.0,95.0,100.0,127.0,187.0,247.4,277.4,277.4,294.1,309.1,329.1,2752.4,2767.1,2811.1,3675.4,4165.4,4775.4,5015.4,5138.5,5211.0,5308.2,5642.2,5706.2,5856.2,5956.2,6106.2,6306.2,-28444.37,21741.73,24417.71,30475.36,45773.86,56092.3,22390.0,50008.69,59579.0,71573.0,67375.0,66087.0,70137.0,68193.0,85616.0,76742.0,81191.0,86559.0,108900.0,123336.0,
Net Interest Income,Tk mn,,,,,,,,,,,,,,,1129.87,829.98,866.46,958.21,-3717.88,1133.59,1197.71,1261.67,1223.61,1515.13,1404.1,1039.42,798.41,954.13,-929.74,-1400.46,-2049.58,-1316.32,-1502.75,555.38,923.46,2336.7,-864.07,1883.08,3709.61,5499.76,-2265.16,-10994.74,-13380.0,-14386.0,-16343.0,-15226.0,-6293.0,-4128.0,-10240.0,-9792.0,2089.0,4759.0,13450.0,1985.0,
Non-Interest Income,Tk mn,,,,,,,,,,,,,,,288.11,419.5,435.81,365.03,5100.68,434.09,560.23,703.4,1535.69,1593.05,1400.47,1668.1,2171.91,2424.78,5077.07,5324.9,6570.87,5661.34,6472.98,7895.41,7168.81,5328.16,13519.2,14882.84,16878.74,17908.9,24660.25,25916.91,34837.0,37089.0,39969.0,46679.0,45613.0,40855.0,53114.0,52181.0,48382.0,62880.0,77660.0,112179.0,
Net Profit After Tax,Tk mn,2.4,20.8,31.2,80.9,91.1,97.8,63.9,96.2,177.2,231.7,481.0,504.5,552.3,499.1,100.0,1.62,15.0,42.36,51.43,16.9,44.75,19.57,592.77,615.69,248.02,132.06,101.91,126.23,132.22,82.33,159.03,106.0,157.52,208.04,-36275.63,973.58,2311.11,1536.77,2737.61,9957.22,-31533.55,3580.18,6054.0,586.0,1516.0,7092.0,2264.0,2710.0,3234.0,3456.0,3710.0,6515.0,8655.0,12411.0,
EPS,BDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82,25.68,17.08,30.42,108.38,-280.3,31.82,32.12,1.53,3.96,18.5,5.47,5.98,7.14,7.63,8.19,14.38,19.11,27.4,
ROA %,%,0.0001001339291,,0.006723123667,0.01112608648,0.0142629008,0.0109092126,0.005435892201,0.005467338054,,0.009601717286,0.01534221757,0.01448268537,0.01270800353,0.009461396139,0.001743998161,2.593920746e-05,0.0002091592509,0.0005486456767,0.0006027356675,0.0001821549775,0.0004481202881,0.0001765988558,0.004273546791,0.003925488341,0.001512268754,0.0007308981868,0.0005123674574,0.0005707361773,0.0005562935919,0.0003240271462,0.0005867789764,0.0003972250309,0.0005391168238,0.0006160732456,-0.1027947443,0.002107479187,0.004688362005,0.00282510444,0.00421645659,0.01432297613,-0.04182447505,0.004200986936,0.00647769294,0.0005710894262,0.0012627125,0.005643297748,0.001732420599,0.001840281244,0.002032386206,0.00202483825,0.002072889731,0.003288527255,0.003825750862,0.005190754259,
ROE %,%,0.12,0.6731391586,0.8041237113,1.266040689,1.227762803,1.275097784,0.79875,1.068888889,1.865263158,2.317,3.787401575,2.697860963,2.232417138,1.799206921,0.3604902668,0.0055083305,0.04852798447,0.1287146764,0.01868551083,0.006107477142,0.01591903525,0.005324590521,0.1423080617,0.1289295138,0.0494516888,0.02570010704,0.01955670697,0.02378018914,0.02343412144,0.01442816585,0.02715583484,0.01779658171,0.02579673119,0.03298975611,1.275318455,0.04477932529,0.0946489249,0.05042663975,0.05980727865,0.1775149174,-1.408376507,0.07159115746,0.1016129844,0.008187444986,0.02250092764,0.1073130873,0.0322796812,0.03974014928,0.0377733134,0.04503401006,0.04569471986,0.07526658118,0.07947658402,0.100627554,
NPL % (gross),%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4675,0.3865,0.3831,0.3346,0.32,0.2832,0.2252,0.2444,0.4459,0.3144,0.2749,0.2388,0.178,0.3331,0.3021,0.2561,0.2508,0.2837,0.3528,0.2626,0.2032,0.1837,0.1732,0.1483,0.1323,0.182,0.1587,
NPL amount,Tk mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,57761.0,51506.53,54399.11,52233.37,49664.22,47653.62,51125.51,58900.87,92013.53,72676.76,69833.5,68314.86,61588.17,125975.3,103768.7,86437.0,86850.0,109114.0,149302.0,121883.0,111994.0,107673.0,119585.0,125536.0,133410.0,180583.0,166149.0,
Provision Coverage %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1701,0.1979,0.1741,0.1565,0.0409,0.0369,0.0755,0.568,0.522,0.6136,0.6213,0.6658,0.61,0.5849,0.6752,0.606,0.4566,0.36,0.2603,0.3614,0.4734,0.5361,0.5313,0.5766,0.6773,0.7505,0.8543,
Loan-Deposit Ratio %,%,0.5083363106,0.6134309902,0.7489281886,0.6459315772,0.6292500195,0.7776037756,0.8061718098,0.805434018,0.8777834516,0.9940218667,1.054570858,0.8299149135,0.8184172364,0.7965409533,0.8228734156,0.7521625468,0.7703175428,0.8018416411,0.7720702261,0.6575594263,0.6350328124,0.6332969631,0.5314315635,0.5939584508,0.6146606963,0.6280341933,0.6225263914,0.7295325634,0.669066066,0.6701518263,0.7160000633,0.686971858,0.6808783367,0.8319177405,0.8127345432,0.627201641,0.6344003311,0.6254376907,0.5983636849,0.6489055344,0.6309878779,0.5007336915,0.4338500571,0.3999321026,0.3727559305,0.3976450492,0.4242594614,0.4755192494,0.4657122021,0.5112439527,0.5959255457,0.6692761309,0.601118288,0.5830276442,
Capital Adequacy Ratio %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0502,0.0507,0.0508,0.0465,0.0406,-0.1632,,,,,,,,0.1224,0.1008,0.1033,0.1035,0.101,0.1009,0.1002,0.1004,0.1005,0.1007,0.1008,0.1011,
Cost-to-Income Ratio %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8078,0.8748,0.7987,0.8758,0.7842,0.531,0.6286,,,,,,,,0.6016,0.6189,0.9401,0.8392,0.7413,0.7774,0.7461,0.7567,0.739,0.6787,0.6267,0.5744,
NPL / Total Assets %,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2611605192,0.2167051322,0.214099215,0.1927274312,0.1861119936,0.1630959133,0.1513990525,0.1669081935,0.1991789061,0.1474334671,0.1283776563,0.1052182895,0.0885915837,0.1670871434,0.1217623005,0.09248634698,0.08464013082,0.09088364887,0.1188036718,0.09326529144,0.07605182938,0.06766639455,0.07006373905,0.07014077771,0.06734035626,0.07982271148,0.06948985814,
YoY NPAT growth %,%,,7.666666667,0.5,1.592948718,0.1260815822,0.07354555434,-0.3466257669,0.5054773083,0.841995842,0.3075620767,1.075960293,0.04885654886,0.09474727453,-0.09632446134,-0.7996393508,-0.9838,8.259259259,1.824,0.2141170916,-0.6713980167,1.647928994,-0.5626815642,29.28972918,0.03866592439,-0.5971674057,-0.4675429401,-0.2283053158,0.238641939,0.04745306187,-0.3773256693,0.9316166646,-0.3334590958,0.4860377358,0.3207211783,-175.3685349,1.026838404,1.373826496,-0.3350511226,0.781405155,2.637194487,-4.166903011,1.113535584,0.6909764314,-0.9032044929,1.587030717,3.678100264,-0.6807670615,0.1969964664,0.1933579336,0.06864564007,0.07349537037,0.75606469,0.3284727552,0.4339688042,-1.0
YoY Total Assets growth %,%,,-1.0,,0.5668325899,-0.1215755309,0.4035727705,0.3112471974,0.4968184293,-1.0,,0.2992113911,0.1111050862,0.2476295188,0.213765048,0.0869802014,0.08919172836,0.1483013342,0.07658867955,0.1051612327,0.08731662737,0.07634815701,0.1096972429,0.2516843217,0.1307605683,0.04565716114,0.1016830926,0.1008315171,0.1119670456,0.07464720994,0.06901456894,0.06666438395,-0.01538886256,0.09492295446,0.1557440806,0.04503192186,0.3090742989,0.06706562541,0.1035064783,0.1935746297,0.07073226412,0.08451991781,0.1303453815,0.0966512249,0.09792187393,0.1700413894,0.0467453502,0.03988980769,0.1268393578,0.08055949982,0.07262921269,0.04861076527,0.1069175292,0.1419245582,0.05688058309,-1.0
