bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2010,27518.8,9906.0,3254.0,15637.3,684.6,1037.9,644.5,3101.7,16.11,2.3420352629999996,4.121555512,31.31,54.360511980000005,304.4253227,28.08,52.116110299999995
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2011,28847.7,10046.1,4706.8,14863.8,895.8,703.4,686.0,3107.0,17.15,2.378005872,4.61523971,38.279999999999994,56.913421310000004,213.4380046,28.9,46.15432716
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2012,32710.5,14743.1,7945.5,15698.8,879.8,1011.9,837.0,5417.9,20.92,2.5588113910000003,5.331617703,42.99,40.12255671,185.5528286,27.26,45.65734525
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2013,46857.8,15457.2,19988.8,16470.3,949.1,2321.8,883.0,5202.7,22.07,1.8844247920000001,5.361165249,40.0,63.803409769999995,77.32930441,24.779999999999998,35.24717968
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2014,50259.9,16501.0,23350.1,17537.8,301.5,2379.7,1129.2,5241.4,28.23,2.2467215410000003,6.438663914999999,38.32,45.32758423,70.66779157,24.58,44.09219752
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2015,51456.4,18137.5,23371.7,17983.9,318.5,1856.4,517.3,6945.6,12.93,1.005317123,2.876461724,45.18,44.46268141,77.60453882,25.77,44.356062349999995
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2016,54541.4,18078.4,26374.9,18189.8,304.9,1599.7,382.3,7318.3,9.56,0.7009354362,2.1017273419999998,49.58,45.09107306,68.54395656,25.759999999999998,65.8458469
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2017,58058.0,17946.0,28580.0,18552.0,522.4,1819.2,563.2,8350.3,14.08,0.9700644183,3.035791289,46.53,44.81874903,62.792162350000005,26.61,50.65123628
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2018,59191.0,19307.0,28312.0,19102.0,1155.9,1332.5,748.9,8895.6,18.72,1.265226132,3.920531881,46.07,42.769459059999996,68.19369878,26.950000000000003,52.873332260000005
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2019,58396.0,19984.0,27646.0,19072.0,659.3,824.3,65.6,7662.5,1.64,0.11233646139999999,0.3439597315,38.34,50.86460033,72.28532157000001,22.18,70.67268806
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2020,55302.0,21290.0,24219.0,19023.0,340.1,960.4,44.9,5962.6,1.12,0.08119055369,0.2360300689,28.01,65.36578003,87.90618936,22.88,91.49557861999999
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2021,61156.6,24134.3,29005.1,18994.6,161.7,1462.8,63.8,7426.2,1.06,0.10432234619999999,0.3358849357,30.769999999999996,54.69284424999999,83.20709117,23.380000000000003,74.71221914
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2022,60968.6,24796.6,29145.0,19106.0,389.2,1378.3,101.3,10259.0,1.69,0.1661511007,0.5301999372,41.370000000000005,37.881859829999996,85.08011666,23.13,71.69448373
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2023,63504.3,26571.1,30535.6,19116.7,440.7,1070.4,102.0,9934.1,1.7,0.1606190447,0.5335648935,37.39,38.52487895,87.01679351,22.56,83.09066843000001
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2024,59896.9,25549.5,27530.6,19093.0,75.7,1465.5,55.8,10552.2,0.93,0.09316008007,0.2922537055,41.3,28.57982222,92.80400718,22.38,82.09836491
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2025,,,,,,,,,,,,,,,,
bangladesh_development_bank_plc_bdbl,Bangladesh Development Bank PLC (BDBL),SOCB,2026,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1973,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1974,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1975,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1976,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1977,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1978,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1979,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1980,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1981,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1982,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1983,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1984,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1985,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1986,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1987,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1988,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1989,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1990,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1991,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1992,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1993,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1994,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1995,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1996,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1997,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1998,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,1999,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2000,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2001,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2002,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2003,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2004,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2005,,,,,,,,,,,,,,,,
bangladesh_krishi_bank_bkb,Bangladesh Krishi Bank (BKB),SOCB,2006,,,,,,,,,,,,,,,,
